date,open,close,high,low,volume,isOpen
2020/1/14,54.93,53.37,55.92,52.94,61573005,1
2020/1/15,53.94,53.24,54.68,52.22,29907150,1
2020/1/16,53.42,54.02,54.47,51.72,33614875,1
2020/1/17,53.79,57.88,59.43,53.13,53125101,1
2020/1/20,57.23,58.69,59.83,56.43,30114443,1
2020/1/21,57.65,56.65,57.66,56.48,20408652,1
2020/1/22,56.43,59.2,60.43,56.03,32838212,1
2020/1/23,57.92,59.76,61.8,57.44,29194250,1
2020/2/3,53.78,53.78,54.41,53.78,10052111,1
2020/2/4,53.93,56.29,57.43,53.93,36822627,1
2020/2/5,57.63,60.74,61.92,56.92,44677742,1
2020/2/6,58.38,60.68,60.78,58.33,30150106,1
2020/2/7,60.67,57.83,60.67,56.59,32167555,1
2020/2/10,59.13,60.86,63.28,58.78,35322906,1
2020/2/11,59.93,58.97,60.05,58.21,19641629,1
2020/2/12,58.97,59.12,60.53,58.28,19769768,1
2020/2/13,58.43,57.48,60.06,57.43,23723758,1
2020/2/14,57.49,56.83,57.83,56.37,21143277,1
2020/2/17,56.84,58.41,58.49,56.84,21014637,1
2020/2/18,57.73,59.4,59.93,57.7,22864534,1
2020/2/19,64.39,61.83,64.4,61.58,43801297,1
2020/2/20,63.09,68.02,68.02,63.03,65018723,1
2020/2/21,66.92,67.42,68.19,65.6,45574732,1
2020/2/24,65.34,66.12,67.06,64.88,35840773,1
2020/2/25,64.32,70.76,72.1,64.09,40793369,1
2020/2/26,69.69,71.61,75.71,68.92,52340934,1
2020/2/27,71.59,69.96,73.06,68,27303435,1
2020/2/28,66.58,65.29,68.91,64.87,33866829,1
2020/3/2,65.52,66.77,67.15,63.92,22591990,1
2020/3/3,69.71,67.79,70.11,67.38,27458921,1
2020/3/4,66.87,66.5,67.72,64.64,18115439,1
2020/3/5,66.94,66.73,67.54,65.42,17021213,1
2020/3/6,65.42,65.28,67.47,65.25,14739011,1
2020/3/9,63.21,59.38,63.21,59.11,29283746,1
2020/3/10,57.53,60.1,61.42,57.26,26713239,1
2020/3/11,60.7,58.68,61.08,58.53,22248495,1
2020/3/12,57.24,56.96,57.59,55.83,23266749,1
2020/3/13,53.73,55.59,56.43,52.29,21345950,1
